vbat, dac
4.018, 4.5112
4.004, 4.5023
3.992, 4.4806
3.970, 4.4564
3.956, 4.4484
3.943, 4.4306
3.931, 4.4097
3.915, 4.3968
3.903, 4.3758
3.890, 4.3710
3.880, 4.3500
3.859, 4.3257
3.851, 4.3194
3.825, 4.2936
3.803, 4.2695
3.790, 4.2501
3.785, 4.2485
3.772, 4.2275
3.760, 4.2195
3.744, 4.1969
3.729, 4.1889
3.721, 4.1711
3.710, 4.1647
3.698, 4.1470
3.687, 4.1389
3.673, 4.1196
3.665, 4.1115
3.661, 4.0986
3.653, 4.0938
3.642, 4.0728
3.624, 4.0696
3.619, 4.0583
3.608, 4.0422
3.595, 4.0341
3.580, 4.0132
3.575, 4.0100
3.566, 3.9938
3.555, 3.9842
3.537, 3.9648
3.515, 3.9407
3.493, 3.9165
3.463, 3.8859
3.436, 3.8552
3.400, 3.8085
3.350, 3.7376
3.277, 3.6522
3.087, 3.4168
4.022, 4.5028
4.032, 4.5305
4.042, 4.5499
4.051, 4.5563
4.084, 4.5870
4.103, 4.6111
4.126, 4.6369
4.144, 4.6595
4.157, 4.6821
4.168, 4.6869
4.175, 4.6901
4.181, 4.7062
4.186, 4.7111
4.190, 4.7127
4.196, 4.7143
4.201, 4.7288
4.208, 4.7352
4.216, 4.7385
4.225, 4.7449
